relative_path,bytes,sha256,description
00_final_board/README_final_board_package.md,557,10beeaed0dfdc55baeadab4f959bc034419fb7af6cf568da75acc1a0ef63e616,"Board-freeze package README from the bracketed-age final board package, renamed to avoid conflicting with the master README."
00_final_board/board_freeze_manifest.json,1705,5c1cf450ccbbcd46af1419a17f791675e528ff7ff3565ad673ece26c34c067d2,"Board-freeze package manifest from the bracketed-age final board package, renamed to board-level manifest."
00_final_board/corbelli_fig12_overlay_reconstruction.png,80325,8e26f4e492944cf6f4da4abbd3466b1c94d49206b777328688031dbcbebe6558,Published-figure overlay benchmark image comparing reconstructed components against Corbelli et al. Figure 12 top-panel source-native curves.
00_final_board/m33_age_bracketed_amber_lock.csv,348,f408e30b863e3896a454e649520373ee1799bf037a8f18a8d751b56e8e8e50b0,Machine-readable Amber bracketed t50 age lock: primary 6.0±1.2 Gyr and conservative 7.1±1.3 Gyr.
00_final_board/m33_age_bracketed_amber_lock_addendum.md,4132,b03fca58e3beb080e4a4d709ffb8ffb01165c158c235c2f5136201555986e634,Current controlling age-decision addendum: both age lanes are locked for sensitivity use and must be reported.
00_final_board/m33_age_conversion_memo_prelock.md,12883,53dc1b0a42ec746c8156f2762e7a5ea23a0676023fc66a58a8c5ee20400fdf0e,Age-conversion analysis memo that produced the candidate values; retained as provenance only. The controlling age document is the bracketed lock addendum.
00_final_board/m33_corbelli2014_table1_import.csv,1549,6dba81de462849123497a6e38207259b90d492b17b808e290af8392321986cfb,"Imported Corbelli 2014 Table 1 engineering table with R, Vobs, uncertainty, HI surface density, and stellar surface density."
00_final_board/m33_corbelli_age_anchor_audit.md,7946,0286e3d682e99e29d1a80d88a25e9a5ba46741f750a989e80b3c76c9e3e237f6,Initial age-source audit retained as provenance only. The controlling age decision is the bracketed lock addendum.
00_final_board/m33_corbelli_board_summary.json,1075,66f4ea8faa172085d0503dc3b3d2ee13f452d51ac8f904e9921f947b1c1a8f1a,"Compact JSON summary of source-native board status, age bracket, and reconstruction metadata."
00_final_board/m33_corbelli_engineering_memo.md,2708,a0da7e15bf197e185ddca8d114c9d0e2bf29437d352332b4c3f174ef74106f7c,Format B reconstruction engineering memo documenting source-native board construction from public profiles.
00_final_board/m33_corbelli_final_board_freeze_memo.md,7511,712d4e9236beb4b173214ebd49adc0c7b9f9f96fa8dac0b934b26af7ced15044,Current final board-freeze memo with bracketed Amber age update and no-run status at board freeze.
00_final_board/m33_corbelli_kernel_provenance_review.md,11087,d93ece4663c759079d88f1922a842b3156dd25862c4acbbdf2c2b6ef870d7580,"Kernel/provenance review explaining annular quadrature thick-disk kernel, Casertano-equivalence target, and SPARC non-equivalence."
00_final_board/m33_corbelli_kernel_specification.md,1771,b4609fb5a004ccf8f7fb629306c55a915dcff04ca38719d02053685edd5aeb74,Frozen provisional annular thick-disk kernel specification used to compute Vgas and Vdisk.
00_final_board/m33_corbelli_mass_closure_table.csv,433,3ab2348158ae636bf7682771a5d3cbd3766a1717e156e5440c88581ee5466a82,"Mass closure checks for stellar mass, H2 mass, HI profile, total gas, and total baryonic mass."
00_final_board/m33_corbelli_overlay_benchmark_report.md,4176,a58dac1c93911622600f54aecdd864764b4cd8dc420b8ce7968d60f11288cc66,Published-figure overlay benchmark report supporting provisional kernel freeze.
00_final_board/m33_corbelli_reconstructed_board.csv,15145,ecd29c4dec518008ea80952c6411bdb956d306312de78ed58d8fcb73a9cc089a,"Final reconstructed board CSV: R, Vobs, errV, Vgas, Vdisk, Vbul, Vbar and provenance fields."
